term; definition
Expiration process; "External intercostal muscles relax; diaphragm relaxes and domes; rib cage moves down/in; thoracic cavity volume decreases; pressure increases; air flows out; normal expiration passive, forced active"
CO2 movement to alveoli; "By simple diffusion through capillary endothelium and alveolar epithelium"
Digestion definition; "Hydrolysis of large biological molecules into small soluble molecules absorbed by gut epithelial cells"
Amylase function; "Catalyses starch to maltose by hydrolysing glycosidic bonds"
Amylase production sites; "Salivary glands (mouth), pancreas (small intestine)"
Maltase function; "Breaks down maltose into glucose + glucose"
Sucrase function; "Breaks down sucrose into glucose + fructose"
Lactase function; "Breaks down lactose into glucose + galactose"
Why maltase is membrane bound; "Part of epithelial cell surface membranes in ileum, not released in lumen"
Monosaccharide absorption; "Co transport with sodium ions; sodium actively transported out to maintain gradient; glucose enters ileum cells with sodium; glucose diffuses into blood"
Lipid digestion; "Lipase hydrolyses ester bonds to monoglycerides and fatty acids; bile salts emulsify lipids into micelles increasing surface area for lipase"
Monoglyceride definition; "Glycerol molecule with a single fatty acid attached"
Lipid absorption; "Micelles carry fatty acids/monoglycerides to ileum cells; absorbed by diffusion"
Fatty acid recombination; "In ileum cells fatty acids and monoglycerides transported to ER and recombined to triglycerides; Golgi forms chylomicrons; exocytosed"
Endopeptidase definition; "Enzyme hydrolysing peptide bonds within protein forming peptides"
Exopeptidase definition; "Enzyme hydrolysing peptide bonds at ends of proteins removing single amino acids"
Dipeptidase definition; "Membrane bound exopeptidase hydrolysing dipeptides into amino acids; located on epithelial cells of small intestine"
Protein digestion and absorption; "Endopeptidases hydrolyse internal peptide bonds; exopeptidases hydrolyse terminal peptide bonds; dipeptidases hydrolyse dipeptides; amino acids absorbed by co transport"
Why multicellular organisms need mass transport; "High metabolic rate; large/rapid oxygen and glucose supply needed; low surface area to volume ratio; diffusion too slow"
Haemoglobin structure; "Globular protein with quaternary structure of 4 polypeptides each with haem group containing Fe2+ binding oxygen"
Haemoglobin oxygen affinity depends on; "Partial pressure of oxygen; higher pO2 increases affinity"
Why oxyhaemoglobin curve is S shaped; "First oxygen binding changes shape facilitating other bindings (cooperative binding); curve steepens then levels as binding sites fill"
Haemoglobin variation between organisms; "Different amino acid sequences cause different tertiary structures and oxygen affinity adapted to environment"
Oxygen loading, transport, unloading; "Oxygen binds haemoglobin at high pO2 in lungs forming oxyhaemoglobin; transported in red blood cells; unloaded at low pO2 in tissues; unloading linked to higher CO2 concentration"
Advantage of left shifted oxyhaemoglobin curve; "Higher oxygen affinity enables loading at low oxygen partial pressures e.g. high altitude adaptation"
Bohr shift; "Change in oxygen dissociation curve due to increased CO2 concentration"
How increased CO2 increases oxygen supply; "Shifts curve right; reduces pH; alters haemoglobin reducing oxygen affinity; oxygen unloaded more readily"
Advantage of right shift during exercise; "Lower haemoglobin affinity; oxygen unloads readily; supports rapid respiration and ATP production for muscles"
oxyhaemoglobin dissociation curve in small mammals; "more right shifted to allow oxygen to be unloaded more readily due to higher oxygen demand"
surface area to volume ratio in small mammals; "larger, causing higher rate of heat loss"
metabolic rate in small mammals; "higher to maintain body temperature due to greater heat loss"
haemoglobin oxygen affinity in small mammals; "lower, allowing oxygen to be unloaded more readily"
double circulatory system; "blood passes through the heart twice for each complete body circuit"
reason for double circulation; "increases pressure after lungs for efficient delivery to body tissues"
closed circulatory system; "blood is confined to vessels"
components of circulatory system; "heart and blood vessels"
function of coronary arteries; "supply oxygenated blood to the heart muscle"
heart structure; "4 chambers: 2 atria and 2 ventricles"
atria function; "pump blood into ventricles"
ventricle function; "pump blood out of the heart"
atria wall characteristics; "thin and elastic to stretch and collect blood"
ventricle wall characteristics; "thicker and muscular to pump blood further"
left vs right ventricle; "left has thicker muscle to pump blood at higher pressure to the body"
heart blood vessels; "vena cava, pulmonary vein, aorta, pulmonary artery"
lung blood vessels; "pulmonary artery and pulmonary vein"
kidney blood vessels; "renal artery and renal vein"
heart valve function; "prevent backflow of blood"
types of heart valves; "atrioventricular and semilunar"
cardiac cycle; "sequence of atrial systole, ventricular systole, and diastole coordinating blood flow"
atrial systole; "atria contract, increasing pressure and pushing blood into ventricles"
ventricular systole; "ventricles contract, AV valves close, SL valves open, blood ejected"
diastole; "atria and ventricles relax, AV valves open, blood flows passively"
importance of separate heart sides; "prevents mixing of oxygenated and deoxygenated blood"
artery structure adaptation; "narrow lumen, thick wall, elastic tissue, smooth muscle for high pressure transport"
vein structure adaptation; "wide lumen, valves, thin walls for low pressure return to heart"
capillary structure adaptation; "thin walls, small lumen, large cross sectional area for efficient exchange"
capillary beds; "networks of capillaries in tissues"
tissue fluid; "fluid surrounding cells in tissues"
tissue fluid contents; "oxygen, water, nutrients"
absent from tissue fluid; "red blood cells and plasma proteins"
formation of tissue fluid; "high hydrostatic pressure at arteriole end forces fluid out of capillaries"
return of tissue fluid; "osmotic re entry at venule end and lymphatic drainage"
heart role in tissue fluid formation; "ventricular contraction creates hydrostatic pressure"
low protein diet effect; "causes less reabsorption of tissue fluid due to reduced water potential gradient"
excess tissue fluid; "drains into lymphatic system"
cardiac output formula; "stroke volume × heart rate"
need for transport in multicellular plants; "diffusion too slow due to small surface area to volume ratio"
xylem function; "transports water and minerals from roots to leaves"
cohesion tension hypothesis; "transpiration creates tension pulling cohesive water molecules upward in xylem"
transpiration; "evaporation of water from plant leaves via stomata"
transpirational pull; "upward water movement due to tension in xylem"
transpiration and gas exchange; "stomata open for CO2, causing water loss"
transpirational pull energy; "passive process"
factors affecting transpiration; "light, temperature, humidity, air movement, stomata number"
light effect on transpiration; "increased light opens stomata, increasing evaporation"
temperature effect on transpiration; "increased temperature increases water molecule kinetic energy and evaporation"
humidity effect on transpiration; "high humidity lowers water potential gradient, reducing transpiration"
air movement effect on transpiration; "removes water vapour, maintaining water potential gradient"
daytime tree diameter; "decreases due to increased tension from transpiration"
effect of air entering xylem; "breaks water column, stopping water transport"
potometer; "device to estimate transpiration rate"
what potometer measures; "water uptake by plant"
potometer assumption; "water loss equals water uptake"
reasons for uptake vs loss difference; "water used in photosynthesis, turgidity, respiration"
shoot vs whole plant water movement; "whole plant has roots and wider xylem"
potometer principle; "transpiration pulls water, moving air bubble to estimate rate"
potometer precautions; "cut stem underwater, airtight setup, dry leaves, form single air bubble"
rate per mm² leaf area; "measure leaf area, divide water uptake by total surface area"
phloem function; "transports organic solutes like sucrose"
phloem structure; "sieve tube elements and companion cells"
sieve cell adaptations; "few organelles for easy flow, thick walls for pressure"
translocation; "active transport of solutes to where needed"
source and sink; "source is where solute is made, sink is where used"
sucrose transport; "used over glucose or starch as it's soluble and less reactive"
enzyme role in translocation; "maintain gradient by converting solutes at sink"
mass flow hypothesis; "sucrose loaded into phloem creates pressure gradient moving it to sink"
xylem vs phloem similarities; "both use mass flow and transport solutes"
xylem vs phloem differences; "xylem moves up only, phloem in both directions, xylem doesn’t transport carbs"
ringing experiment; "removing bark shows sugars build up above ring, indicating phloem transport"
radioactive tracer use; "tracks sugar movement using 14C and autoradiography"
Gene; "A sequence of DNA bases that codes for the amino acid sequence of a polypeptide, or a functional RNA (e.g. rRNA, tRNA)"
Locus; "The fixed position of a gene on a DNA molecule"
Triplet; "A sequence of three adjacent DNA bases that codes for a specific amino acid"
Codon; "A sequence of three adjacent nucleotides in mRNA that codes for a specific amino acid"
Genetic code   universal; "The same specific base triplets code for the same amino acids in all living things"
Genetic code   non overlapping; "Base triplets don’t share bases, each base is read only once"
Genetic code   degenerate; "Most amino acids are coded for by more than one base triplet"
Start codon; "A base triplet at the start of an mRNA molecule that is the initiation signal for translation"
Stop codon; "A base triplet at the end of an mRNA molecule that signals when translation should be terminated"
Intron; "Non coding regions of DNA that do not code for amino acids"
Exon; "Sequences of mRNA bases that code for sequences of amino acids"
Non coding base sequences; "DNA sequences that do not code for polypeptides, e.g. introns and non coding repeats between genes"
Genome; "The complete set of genes in a cell"
Proteome; "The full range of proteins that a cell or organism is able to produce"
Transcription; "Formation of mRNA molecules from the DNA that makes up a particular gene"
Transcription location   eukaryotes; "Nucleus"
Transcription location   prokaryotes; "Cytoplasm (as they lack a nucleus)"
Translation; "The assembly of proteins using the sequence of codons on mRNA"
Translation location; "Ribosomes in the cytoplasm"
Mutation; "A change in the base sequence of DNA"
Mutagenic agent; "A factor that increases the mutation rate"
Types of mutation; "Substitution / deletion / addition"
Non disjunction; "A failure of the chromosomes to separate properly during meiosis"
Chromosome; "A DNA double helix associated with histone proteins"
Chromatid; "One of two identical DNA copies connected at the centromere during cell division"
Meiosis I; "Homologous chromosomes are separated, reducing chromosome number by half"
Meiosis II; "Sister chromatids are separated and centromeres divide"
Homologous pair; "A pair of chromosomes, one maternal and one paternal, with the same genes at the same loci"
Sister chromatids; "Genetically identical chromatids formed by DNA replication"
Non sister chromatids; "Chromatids with the same genes at the same loci but possibly different alleles"
Crossing over; "Exchange of genetic material between non sister chromatids, creating new allele combinations"
Independent segregation; "Random alignment and separation of homologous chromosomes during meiosis"
Mitosis; "Cell division producing two genetically identical daughter cells"
Meiosis; "Cell division producing four genetically different haploid daughter cells"
Haploid; "Cells that contain a single copy of each chromosome"
Diploid; "Cells that contain two copies of each chromosome"
Genetic diversity; "The number of different alleles of genes in a species or population"
Mutation and gene flow; "Two ways in which genetic diversity is increased"
Genetic bottleneck; "An event that reduces the size and genetic diversity of a population"
Founder effect; "Loss of genetic variation when a new population is established by a small number of individuals"
Natural selection; "The process where individuals with advantageous alleles survive, reproduce and pass them on"
Behavioural adaptation; "A way in which an organism acts that increases its survival and reproduction"
Physiological adaptation; "Internal body processes that increase an organism's chance of survival"
Anatomical adaptation; "Structural features of an organism's body that increase its survival chance"
Selection; "The process where the best adapted individuals survive and pass on their alleles"
Directional selection; "Selection that favours phenotypes at one extreme of the population"
Stabilising selection; "Selection that favours phenotypes around the mean of a population"
Binomial naming system; "Naming organisms using genus and species names"
Taxon; "Each level in a hierarchy of classification"
Hierarchy; "A classification system with large groups divided into smaller groups with no overlap"
Phylogenetic group; "Groups classified according to evolutionary links"
Species; "A group of similar organisms that can breed to produce fertile offspring"
Biodiversity; "The variety of living organisms in an area"
Habitat; "The place where an organism lives"
Community; "All the populations of different species in a habitat"
Species richness; "The number of different species in a community"
Index of diversity; "A measure of species number and abundance in a community"
Monoculture; "The cultivation of a single species/variety of crop"
Standard deviation; "A measure of the spread of values around the mean in a dataset"

          # Greetings for biology chatbot

Hi; "Hello, I am Biobot, how can i help you today. " 
How are you; "I am good thanks and ready to learn some biology! "
Hello; "Hi there! Ready to dive into some biology?"
Hey; "Hey! What topic are we exploring today?"
Good morning; "Good morning! Let's make today a great revision day."
Good afternoon; "Good afternoon! I'm here to help you revise whenever you're ready."
Good evening; "Good evening! Perfect time to strengthen your biology knowledge."
What's up; "All good here! Just excited to help you learn."
Tell me something; "Sure! Ask me any biology term and I'll explain it."
Help me; "Of course! What would you like to revise?"
Thanks; "You're welcome! Let me know if you want to learn more."
Thank you; "Happy to help! Want to try another topic?"
Who are you; "I'm BioBot, your biology revision assistant!"
What can you do; "I can explain biology terms, test you with flashcards, and track your progress."
I'm bored; "Lets fix that, want a biology fact or flashcard?"
Give me a fact; "Here’s one: Enzymes speed up reactions without being used up!"
Tell me a joke; "Why did the cell go to therapy? It had too many issues with division."
I need motivation; "You’ve got this! Every minute you revise builds your confidence."
I'm stressed; "Take a breath we'll go step by step together."
I'm confused; "No worries, I can explain it in a simpler way. What's confusing you?"
